35;Last Odyssey ~Pinball Fantasia~;ラストオデッセイピンボールファンタジア
54;Buster Blaze (Crossed Swords II);クロススウォードII
71;Bang 2 Busters;バンバンバスターズ
72;Caribe no Zaiou ;カリブのざいおう
77;Shinryu Senki ~The Warlocks of the Fates~;神竜戦記 ~ザ・ワーロックス・オフ・ザ・フェイツ~
98;Idol Mahjong Final Romance 2;アイドル麻雀 ファイナルロマンス 2
99;The Eye of Typhoon ~Kyokuchougouken~;ジ アイ オフ ア タイフーン ~極超豪拳~
-;Q.P.;Q.P.
204;Hebereke’s Pair Pair Wars;へべれけペアペアウォーズ
210;Karate Ninja Sho;空手忍者翔
211;Droppers ~Fuyuutou no Daibouken~ (Oshidashi Zintrick);押し出しジントリック
220;Choutetsu Brikin'ger;超鉄ブリキンガー
226;Mahou Juku ~Magic Master~;まほうじゅく
228;Ghost Lop;ゴーストロップ
258;Garou Mark of the Wolves Special;餓狼 MARK OF THE WOLVES スペシャル;
